	country	artist	song	language	final-rank	points
9th Eurovision Song Contest 1964, Copenhagen, Denmark						
107	 Luxembourg	Hugues Aufray	"Dès que le printemps revient"	French	4	14
108	 Netherlands	Anneke Grönloh	"Jij bent mijn leven"	Dutch	10	2
109	 Norway	Arne Bendiksen	"Spiral"	Norwegian	8	6
110	 Denmark	Bjørn Tidmand	"Sangen om dig"	Danish	9	4
111	 Finland	Lasse Mårtenson	"Laiskotellen"	Finnish (English)	7	9
112	 Austria	Udo Jürgens	"Warum nur, warum?"	German	6	11
113	 France	Rachel	"Le chant de Mallory"	French	4	14
114	 United Kingdom	Matt Monro	"I Love the Little Things"	English	2	17
115	 Germany	Nora Nova	"Man gewöhnt sich so schnell an das Schöne"	German	13	0
116	 Monaco	Romuald	"Où sont-elles passées"	French	3	15
117	 Portugal	António Calvário	"Oração"	Portuguese	13	0
118	 Italy	Gigliola Cinquetti	"Non ho l'età"	Italian	1	49
119	 Yugoslavia	Sabahudin Kurt	"Život je sklopio krug"	Bosnian	13	0
120	  Switzerland	Anita Traversi (2)	"I miei pensieri"	Italian	13	0
121	 Belgium	Robert Cogoi	"Près de ma rivière"	French	10	2
122	 Spain	Los TNT	"Caracola"	Spanish	12	1
10th Eurovision Song Contest 1965, Naples, Italy						
123	 Netherlands	Conny van den Bos	"'t Is genoeg"	Dutch	11	5
124	 United Kingdom	Kathy Kirby	"I Belong"	English	2	26
125	 Spain	Conchita Bautista (2)	"¡Qué bueno, qué bueno!"	Spanish	15	0
126	 Ireland	Butch Moore	"Walking the Streets in the Rain"	English	6	11
127	 Germany	Ulla Wiesner	"Paradies, wo bist du?"	German	15	0
128	 Austria	Udo Jürgens (2)	"Sag ihr, ich lass sie Grüßen"	German	4	16
129	 Norway	Kirsti Sparboe	"Karusell"	Norwegian	13	1
130	 Belgium	Lize Marke	"Als het weer lente is"	Dutch	15	0
131	 Monaco	Marjorie Noël	"Va dire à l'amour"	French	9	7
132	 Sweden	Ingvar Wixell	"Absent Friend"	English	10	6
133	 France	Guy Mardel	"N'avoue jamais"	French	3	22
134	 Portugal	Simone de Oliveira	"Sol de inverno"	Portuguese	13	1
135	 Italy	Bobby Solo	"Se piangi, se ridi"	Italian	5	15
136	 Denmark	Birgit Brüel	"For din skyld"	Danish	7	10
137	 Luxembourg	France Gall	"Poupée de cire, poupée de son"	French	1	32
138	 Finland	Viktor Klimenko	"Aurinko laskee länteen"	Finnish	15	0
139	 Yugoslavia	Vice Vukov (2)	"Čežnja"	Croatian	12	2
140	  Switzerland	Yovanna	"Non – à jamais sans toi"	French	8	8
11th Eurovision Song Contest 1966, Luxembourg City, Luxembourg						
141	 Germany	Margot Eskens	"Die Zeiger der Uhr"	German	10	7
142	 Denmark	Ulla Pia	"Stop – mens legen er go'"	Danish	14	4
143	 Belgium	Tonia	"Un peu de poivre, un peu de sel"	French	4	14
144	 Luxembourg	Michèle Torr	"Ce soir je t'attendais"	French	10	7
145	 Yugoslavia	Berta Ambrož	"Brez besed"	Slovene	7	9
146	 Norway	Åse Kleveland	"Intet er nytt under solen"	Norwegian	3	15
147	 Finland	Ann Christine	"Playboy"	Finnish	10	7
				(title English)		
148	 Portugal	Madalena Iglésias	"Ele e ela"	Portuguese	13	6
149	 Austria	Udo Jürgens (3)	"Merci, Chérie"	German (French)	1	31
150	 Sweden	Lill Lindfors & Svante Thuresson	"Nygammal vals (Hip man svinaherde)"	Swedish	2	16
151	 Spain	Raphael	"Yo soy aquél"	Spanish	7	9
152	  Switzerland	Madeleine Pascal	"Ne vois-tu pas?"	French	6	12
153	 Monaco	Tereza Kesovija	"Bien plus fort"	French	17	0
154	 Italy	Domenico Modugno (3)	"Dio, come ti amo"	Italian	17	0
155	 France	Dominique Walter	"Chez nous"	French	16	1
156	 Netherlands	Milly Scott	"Fernando en Filippo"	Dutch	15	2
157	 Ireland	Dickie Rock	"Come Back to Stay"	English	4	14
158	 United Kingdom	Kenneth McKellar	"A Man Without Love"	English	9	8
12th Eurovision Song Contest 1967, Vienna, Austria						
159	 Netherlands	Thérèse Steinmetz	"Ring-dinge-ding"	Dutch	14	2
160	 Luxembourg	Vicky Leandros	"L'amour est bleu"	French	4	17
161	 Austria	Peter Horton	"Warum es hunderttausend Sterne gibt"	German	14	2
162	 France	Noëlle Cordier	"Il doit faire beau là-bas"	French	3	20
163	 Portugal	Eduardo Nascimento	"O vento mudou"	Portuguese	12	3
164	  Switzerland	Géraldine	"Quel cœur vas-tu briser?"	French	17	0
165	 Sweden	Östen Warnerbring	"Som en dröm"	Swedish	8	7
166	 Finland	Fredi	"Varjoon – suojaan"	Finnish	12	3
167	 Germany	Inge Brück	"Anouschka"	German	8	7
168	 Belgium	Louis Neefs	"Ik heb zorgen"	Dutch	7	8
169	 United Kingdom	Sandie Shaw	"Puppet on a String"	English	1	47
170	 Spain	Raphael (2)	"Hablemos del amor"	Spanish	6	9
171	 Norway	Kirsti Sparboe (2)	"Dukkemann"	Norwegian	14	2
172	 Monaco	Minouche Barelli	"Boum-badaboum"	French	5	10
173	 Yugoslavia	Lado Leskovar	"Vse rože sveta"	Slovene	8	7
174	 Italy	Claudio Villa (2)	"Non andare più lontano"	Italian	11	4
175	 Ireland	Sean Dunphy	"If I Could Choose"	English	2	22
13th Eurovision Song Contest 1968, London, United Kingdom						
176	 Portugal	Carlos Mendes	"Verão"	Portuguese	11	5
177	 Netherlands	Ronnie Tober	"Morgen"	Dutch	16	1
178	 Belgium	Claude Lombard	"Quand tu reviendras"	French	7	8
179	 Austria	Karel Gott	"Tausend Fenster"	German	13	2
180	 Luxembourg	Chris Baldo & Sophie Garel	"Nous vivrons d'amour"	French	11	5
181	  Switzerland	Gianni Mascolo	"Guardando il sole"	Italian	13	2
182	 Monaco	Line & Willy	"À chacun sa chanson"	French	7	8
183	 Sweden	Claes-Göran Hederström	"Det börjar verka kärlek, banne mej"	Swedish	5	15
184	 Finland	Kristina Hautala	"Kun kello käy"	Finnish	16	1
185	 France	Isabelle Aubret (2)	"La source"	French	3	20
186	 Italy	Sergio Endrigo	"Marianne"	Italian	10	7
187	 United Kingdom	Cliff Richard	"Congratulations"	English	2	28
188	 Norway	Odd Børre	"Stress"	Norwegian	13	2
189	 Ireland	Pat McGuigan	"Chance of a Lifetime"	English	4	18
190	 Spain	Massiel	"La, la, la"	Spanish	1	29
191	 Germany	Wenche Myhre	"Ein Hoch der Liebe"	German	6	11
192	 Yugoslavia	Dubrovački trubaduri	"Jedan dan"	Croatian	7	8
14th Eurovision Song Contest 1969, Madrid, Spain						
193	 Yugoslavia	Ivan & M's	"Pozdrav svijetu"	Croatian (8 other)	13	5
194	 Luxembourg	Romuald (2)	"Catherine"	French	11	7
195	 Spain	Salomé	"Vivo cantando"	Spanish	1	18
196	 Monaco	Jean Jacques	"Maman, Maman"	French	6	11
197	 Ireland	Muriel Day feat. The Lindsays	"The Wages of Love"	English	7	10
198	 Italy	Iva Zanicchi	"Due grosse lacrime bianche"	Italian	13	5
199	 United Kingdom	Lulu	"Boom Bang-a-Bang"	English	1	18
200	 Netherlands	Lenny Kuhr	"De troubadour"	Dutch	1	18
201	 Sweden	Tommy Körberg	"Judy, min vän"	Swedish	9	8
202	 Belgium	Louis Neefs (2)	"Jennifer Jennings"	Dutch	7	10
203	  Switzerland	Paola del Medico	"Bonjour, bonjour"	German (French)	5	13
204	 Norway	Kirsti Sparboe (3)	"Oj, oj, oj, så glad jeg skal bli"	Norwegian	16	1
205	 Germany	Siw Malmkvist (2)	"Primaballerina"	German	9	8
206	 France	Frida Boccara	"Un jour, un enfant"	French	1	18
207	 Portugal	Simone de Oliveira (2)	"Desfolhada portuguesa"	Portuguese	15	4
208	 Finland	Jarkko & Laura	"Kuin silloin ennen"	Finnish	12	6
15th Eurovision Song Contest 1970, Amsterdam, Netherlands						
209	 Netherlands	Hearts of Soul	"Waterman"	Dutch	7	7
210	  Switzerland	Henri Dès	"Retour"	French	4	8
211	 Italy	Gianni Morandi	"Occhi di ragazza"	Italian	8	5
212	 Yugoslavia	Eva Sršen	"Pridi, dala ti bom cvet"	Slovene	11	4
213	 Belgium	Jean Vallée	"Viens l'oublier"	French	8	5
214	 France	Guy Bonnet	"Marie-Blanche"	French	4	8
215	 United Kingdom	Mary Hopkin	"Knock, Knock Who's There?"	English	2	26
216	 Luxembourg	David Alexandre Winter	"Je suis tombé du ciel"	French	12	0
217	 Spain	Julio Iglesias	"Gwendolyne"	Spanish	4	8
218	 Monaco	Dominique Dussault	"Marlène"	French	8	5
				(English/German)		
219	 Germany	Katja Ebstein	"Wunder gibt es immer wieder"	German	3	12
220	 Ireland	Dana	"All Kinds of Everything"	English	1	32
16th Eurovision Song Contest 1971, Dublin, Ireland						
221	 Austria	Marianne Mendt	"Musik"	Viennese German	16	66
222	 Malta	Joe Grech	"Marija l-Maltija"	Maltese	18	52
223	 Monaco	Séverine	"Un banc, un arbre, une rue"	French	1	128
224	  Switzerland	Peter, Sue & Marc	"Les illusions de nos vingt ans"	French	12	78
225	 Germany	Katja Ebstein (2)	"Diese Welt"	German	3	100
226	 Spain	Karina	"En un mundo nuevo"	Spanish	2	116
227	 France	Serge Lama	"Un jardin sur la terre"	French	10	82
228	 Luxembourg	Monique Melsen	"Pomme, pomme, pomme"	French	13	70
229	 United Kingdom	Clodagh Rodgers	"Jack in the Box"	English	4	98
230	 Belgium	Lily Castel & Jacques Raymond (2)	"Goeiemorgen, morgen"	Dutch	14	68
231	 Italy	Massimo Ranieri	"L'amore è un attimo"	Italian	5	91
232	 Sweden	Family Four	"Vita vidder"	Swedish	6	85
233	 Ireland	Angela Farrell	"One Day Love"	English	11	79
234	 Netherlands	Saskia & Serge	"Tijd"	Dutch	6	85
235	 Portugal	Tonicha	"Menina do alto da serra"	Portuguese	9	83
236	 Yugoslavia	Krunoslav Slabinac	"Tvoj dječak je tužan"	Croatian	14	68
237	 Finland	Markku Aro & Koivistolaiset	"Tie uuteen päivään"	Finnish	8	84
238	 Norway	Hanne Krogh	"Lykken er..."	Norwegian	17	65
17th Eurovision Song Contest 1972, Edinburgh, United Kingdom						
239	 Germany	Mary Roos	"Nur die Liebe läßt uns leben"	German	3	107
240	 France	Betty Mars	"Comé-comédie"	French	11	81
241	 Ireland	Sandie Jones	"Ceol an ghrá"	Irish	15	72
242	 Spain	Jaime Morey	"Amanece"	Spanish	10	83
243	 United Kingdom	The New Seekers	"Beg, Steal or Borrow"	English	2	114
244	 Norway	Grethe Kausland & Benny Borg	"Småting"	Norwegian	14	73
245	 Portugal	Carlos Mendes (2)	"A festa da vida"	Portuguese	7	90
246	  Switzerland	Véronique Müller	"C'est la chanson de mon amour"	French	8	88
247	 Malta	Helen & Joseph	"L-imħabba"	Maltese	18	48
				(It./Sp./Germ./Engl.)		
248	 Finland	Päivi Paunu & Kim Floor	"Muistathan"	Finnish	12	78
249	 Austria	Milestones	"Falter im Wind"	German	5	100
250	 Italy	Nicola di Bari	"I giorni dell'arcobaleno"	Italian	6	92
251	 Yugoslavia	Tereza Kesovija (2)	"Muzika i ti"	Croatian	9	87
252	 Sweden	Family Four (2)	"Härliga sommardag"	Swedish	13	75
253	 Monaco	Anne-Marie Godart & Peter McLane	"Comme on s'aime"	French	16	65
254	 Belgium	Serge & Christine Ghisoland	"À la folie ou pas du tout"	French	17	55
255	 Luxembourg	Vicky Leandros (2)	"Après toi"	French	1	128
256	 Netherlands	Sandra & Andres	"Als het om de liefde gaat"	Dutch	4	106
18th Eurovision Song Contest 1973, Luxembourg City, Luxembourg						
257	 Finland	Marion Rung (2)	"Tom Tom Tom"	English	6	93
258	 Belgium	Nicole & Hugo	"Baby, Baby"	Dutch (English/	17	58
				Spanish/French)		
259	 Portugal	Fernando Tordo	"Tourada"	Portuguese	10	80
260	 Germany	Gitte	"Junger Tag"	German	8	85
261	 Norway	Bendik Singers	"It's Just a Game"	English/French	7	89
				(10 other)		
262	 Monaco	Marie	"Un train qui part"	French	8	85
263	 Spain	Mocedades	"Eres tú"	Spanish	2	125
264	  Switzerland	Patrick Juvet	"Je vais me marier, Marie"	French	12	79
265	 Yugoslavia	Zdravko Čolić	"Gori vatra" (Гори ватра)	Serbian	15	65
266	 Italy	Massimo Ranieri (2)	"Chi sarà con te"	Italian	13	74
267	 Luxembourg	Anne-Marie David	"Tu te reconnaîtras"	French	1	129
268	 Sweden	Nova feat. The Dolls	"You're Summer (You Never Tell Me No)"	English	5	94
269	 Netherlands	Ben Cramer	"De oude muzikant"	Dutch	14	69
270	 Ireland	Maxi	"Do I Dream"	English	10	80
271	 United Kingdom	Cliff Richard (2)	"Power to All Our Friends"	English	3	123
272	 France	Martine Clémenceau	"Sans toi"	French	15	65
273	 Israel	Ilanit	"Ey sham" (אי שם)	Hebrew	4	97
19th Eurovision Song Contest 1974, Brighton, United Kingdom						
274	 Finland	Carita	"Keep Me Warm"	English	13	4
275	 United Kingdom	Olivia Newton-John	"Long Live Love"	English	4	14
276	 Spain	Peret	"Canta y sé feliz"	Spanish	9	10
277	 Norway	Anne-Karine Strøm feat. Bendik Singers (2)	"The First Day of Love"	English	14	3
278	 Greece	Marinella	"Krasi, thalassa ke t' agori mou"	Greek	11	7
			(Κρασί, θάλασσα και τ' αγόρι μου)			
279	 Israel	Poogy	"Natati la khayay" (נתתי לה חיי)	Hebrew	7	11
280	 Yugoslavia	Korni Grupa	"Moja generacija (Generacija '42)" (Моја генерација (Генерација '42))	Serbian	12	6
281	 Sweden	ABBA	"Waterloo"	English	1	24
282	 Luxembourg	Ireen Sheer	"Bye Bye I Love You"	French (English)	4	14
283	 Monaco	Romuald (3)	"Celui qui reste et celui qui s'en va"	French	4	14
284	 Belgium	Jacques Hustin	"Fleur de liberté"	French	9	10
285	 Netherlands	Mouth & MacNeal	"I See a Star"	English	3	15
286	 Ireland	Tina Reynolds	"Cross Your Heart"	English	7	11
287	 Germany	Cindy & Bert	"Die Sommermelodie"	German	14	3
288	  Switzerland	Piera Martell	"Mein Ruf nach dir"	German	14	3
289	 Portugal	Paulo de Carvalho	"E depois do adeus"	Portuguese	14	3
290	 Italy	Gigliola Cinquetti (2)	"Sì"	Italian	2	18
20th Eurovision Song Contest 1975, Stockholm, Sweden						
291	 Netherlands	Teach-In	"Ding-a-Dong"	English	1	152
292	 Ireland	The Swarbriggs	"That's What Friends Are For"	English	9	68
293	 France	Nicole Rieu	"Et bonjour à toi l'artiste"	French	4	91
294	 Germany	Joy Fleming	"Ein Lied kann eine Brücke sein"	German/English	17	15
295	 Luxembourg	Geraldine	"Toi"	French	5	84
296	 Norway	Ellen Nikolaysen	"Touch My Life (With Summer)"	English	18	11
297	  Switzerland	Simone Drexel	"Mikado"	German	6	77
298	 Yugoslavia	Pepel in kri	"Dan ljubezni"	Slovene	13	22
299	 United Kingdom	The Shadows	"Let Me Be the One"	English	2	138
300	 Malta	Renato	"Singing This Song"	English	12	32
301	 Belgium	Ann Christy	"Gelukkig zijn"	Dutch/English	15	17
302	 Israel	Shlomo Artzi	"At ve'ani" (את ואני)	Hebrew	11	40
303	 Turkey	Semiha Yankı	"Seninle bir dakika"	Turkish	19	3
304	 Monaco	Sophie	"Une chanson c'est une lettre"	French	13	22
305	 Finland	Pihasoittajat	"Old Man Fiddle"	English	7	74
306	 Portugal	Duarte Mendes	"Madrugada"	Portuguese	16	16
307	 Spain	Sergio & Estíbaliz	"Tú volverás"	Spanish	10	53
308	 Sweden	Lasse Berghagen feat. The Dolls (2)	"Jennie, Jennie"	English	8	72
309	 Italy	Wess & Dori Ghezzi	"Era"	Italian	3	115
21st Eurovision Song Contest 1976, The Hague, Netherlands						
310	 United Kingdom	Brotherhood of Man	"Save Your Kisses for Me"	English	1	164
311	  Switzerland	Peter, Sue & Marc (2)	"Djambo, Djambo"	English	4	91
312	 Germany	Les Humphries Singers	"Sing Sang Song"	German	15	12
				(title English)		
313	 Israel	Chocolate, Menta, Mastik	"Emor shalom" (אמור שלום)	Hebrew	6	77
314	 Luxembourg	Jürgen Marcus	"Chansons pour ceux qui s'aiment"	French	14	17
315	 Belgium	Pierre Rapsat	"Judy et Cie"	French	8	68
316	 Ireland	Red Hurley	"When"	English	10	54
317	 Netherlands	Sandra Reemer (2)	"The Party's Over"	English	9	56
318	 Norway	Anne-Karine Strøm (2)	"Mata Hari"	English	18	7
319	 Greece	Mariza Koch	"Panagia mou, Panagia mou" (Παναγιά μου, Παναγιά μου)	Greek	13	20
320	 Finland	Fredi (2) & Ystävät	"Pump-Pump"	English	11	44
321	 Spain	Braulio	"Sobran las palabras"	Spanish	16	11
322	 Italy	Al Bano & Romina Power	"We'll Live It All Again (Io rivivrei)"	English/Italian	7	69
323	 Austria	Waterloo & Robinson	"My Little World"	English	5	80
324	 Portugal	Carlos do Carmo	"Uma flor de verde pinho"	Portuguese	12	24
325	 Monaco	Mary Christy	"Toi, la musique et moi"	French	3	93
326	 France	Catherine Ferry	"Un, deux, trois"	French	2	147
327	 Yugoslavia	Ambasadori	"Ne mogu skriti svoju bol"	Bosnian	17	10
22nd Eurovision Song Contest 1977, London, United Kingdom						
328	 Ireland	The Swarbriggs (2) Plus Two	"It's Nice to Be in Love Again"	English	3	119
329	 Monaco	Michèle Torr (2)	"Une petite française"	French	4	96
330	 Netherlands	Heddy Lester	"De mallemolen"	Dutch	12	35
331	 Austria	Schmetterlinge	"Boom Boom Boomerang"	German (English)	17	11
332	 Norway	Anita Skorgan	"Casanova"	Norwegian	14	18
333	 Germany	Silver Convention	"Telegram"	English	8	55
334	 Luxembourg	Anne-Marie B	"Frère Jacques"	French	16	17
335	 Portugal	Os Amigos	"Portugal no coração"	Portuguese	14	18
336	 United Kingdom	Lynsey de Paul & Mike Moran	"Rock Bottom"	English	2	121
337	 Greece	Pascalis, Marianna, Robert & Bessy	"Mathima solfege" (Μάθημα σολφέζ)	Greek	5	92
338	 Israel	Ilanit (2)	"Ahava hi shir lishnayim" (אהבה היא שיר לשניים)	Hebrew	11	49
339	  Switzerland	Pepe Lienhard Band	"Swiss Lady"	German	6	71
				(title English)		
340	 Sweden	Forbes	"Beatles"	Swedish	18	2
341	 Spain	Micky	"Enséñame a cantar"	Spanish	9	52
342	 Italy	Mia Martini	"Libera"	Italian	13	33
343	 Finland	Monica Aspelund	"Lapponia"	Finnish	10	50
				(title Latin)		
344	 Belgium	Dream Express (Hearts of Soul) (2)	"A Million in One, Two, Three"	English	7	69
345	 France	Marie Myriam	"L'oiseau et l'enfant"	French	1	136
23rd Eurovision Song Contest 1978, Paris, France						
346	 Ireland	Colm C. T. Wilkinson	"Born to Sing"	English	5	86
347	 Norway	Jahn Teigen	"Mil etter mil"	Norwegian	20	0
348	 Italy	Ricchi e Poveri	"Questo amore"	Italian	12	53
349	 Finland	Seija Simola	"Anna rakkaudelle tilaisuus"	Finnish	18	2
350	 Portugal	Gemini	"Dai li dou"	Portuguese	17	5
351	 France	Joël Prévost	"Il y aura toujours des violons"	French	3	119
352	 Spain	José Vélez	"Bailemos un vals"	Spanish (French)	9	65
353	 United Kingdom	Co-Co	"The Bad Old Days"	English	11	61
354	  Switzerland	Carole Vinci	"Vivre"	French	9	65
355	 Belgium	Jean Vallée (2)	"L'amour ça fait chanter la vie"	French	2	125
356	 Netherlands	Harmony	"'t Is OK"	Dutch	13	37
357	 Turkey	Nilüfer & Nazar	"Sevince"	Turkish	18	2
358	 Germany	Ireen Sheer (2)	"Feuer"	German	6	84
359	 Monaco	Caline & Olivier Toussaint	"Les jardins de Monaco"	French	4	107
