,index,year,country,artist,song,language,final-rank,points
395,395.0,1980, Norway,Sverre Kjelsberg  Mattis Haetta,Samiid aednan,Norwegian,,
396,396.0,1980, Germany,Katja Ebstein ,Theater,German,,
397,397.0,1980, United Kingdom,Prima Donna,Love Enough for Two,English,,
398,398.0,1980, Portugal,Jose Cid,Um grande grande amor,Portuguese,,
399,399.0,1980, Netherlands,Maggie MacNeal ,Amsterdam,Dutch,,
400,400.0,1980, France,Profil,He he msieurs dames,French,,
401,401.0,1980, Ireland,Johnny Logan,Whats Another Year,English,,
402,402.0,1980, Spain,Trigo Limpio,Quedate esta noche,Spanish,,
403,403.0,1980, Belgium,Telex,EuroVision,French,,
404,404.0,1981, Austria,Marty Brem,Wenn du da bist,German,,
405,405.0,1981, Turkey,Modern Folk Uclusu  Aysegul,Donme dolap,Turkish,,
406,406.0,1981, Germany,Lena Valaitis,Johnny Blue,German,,
407,407.0,1981, Luxembourg,JeanClaude Pascal ,Cest peutetre pas lAmerique,French,,
408,408.0,1981, Israel,Hakol Over Habibi,Halayla hlylh,Hebrew,,
409,409.0,1981, Denmark,Tommy Seebach   Debbie Cameron,Kroller eller ej,Danish,,
410,410.0,1981, Yugoslavia,Vajta,Lejla,Bosnian,,
411,411.0,1981, Finland,Riki Sorsa,Reggae OK,Finnish,,
412,412.0,1981, France,Jean Gabilou,Humanahum,French,,
413,413.0,1981, Spain,Bacchelli,Y solo tu,Spanish,,
414,414.0,1981, Netherlands,Linda Williams,Het is een wonder,Dutch,,
415,415.0,1981, Ireland,Sheeba,Horoscopes,English,,
416,416.0,1981, Norway,Finn Kalvik,Aldri i livet,Norwegian,,
417,417.0,1981, United Kingdom,Bucks Fizz,Making Your Mind Up,English,,
418,418.0,1981, Portugal,Carlos Paiao,Playback,Portuguese,,
419,419.0,1981, Belgium,Emly Starr,Samson,Dutch,,
420,420.0,1981, Greece,Yiannis Dimitras,Feggari kalokerino Pheggari kalokairino,Greek,,
421,421.0,1981, Cyprus,Island,Monika Monika,Greek,,
422,422.0,1981,  Switzerland,Peter Sue  Marc ,Io senza te,Italian,,
423,423.0,1981, Sweden,Bjorn Skifs ,Fangad i en drom,Swedish,,
424,424.0,1982, Portugal,Doce,Bem bom,Portuguese,,
425,425.0,1982, Luxembourg,Svetlana,Cours apres le temps,French,,
426,426.0,1982, Norway,Jahn Teigen   Anita Skorgan ,Adieu,Norwegian,,
427,427.0,1982, United Kingdom,Bardo,One Step Further,English,,
428,428.0,1982, Turkey,Neco,Hani,Turkish,,
429,429.0,1982, Finland,Kojo,Nuku pommiin,Finnish,,
430,430.0,1982,  Switzerland,Arlette Zola,Amour on taime,French,,
431,431.0,1982, Cyprus,Anna Vissi ,Mono i agapi Mono e agape,Greek,,
432,432.0,1982, Sweden,Chips,Dag efter dag,Swedish,,
433,433.0,1982, Austria,Mess,Sonntag,German,,
434,434.0,1982, Belgium,Stella,Si tu aimes ma musique,French,,
435,435.0,1982, Spain,Lucia,El,Spanish,,
436,436.0,1982, Denmark,Brixx,Video video,Danish,,
437,437.0,1982, Yugoslavia,Aska,Halo halo Khalo khalo,Serbian,,
