,code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFSoGIdj,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj
193,ALB,Albania,1975,29.35032081604004,29.606292724609375,29.094358444213867,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,29.555864334106445,28.131155014038086,30.980573654174805,27.377208709716797,33.07723617553711,21.677181243896484,35.73930358886719,25.81867027282715,45.65993881225586,25.551082611083984,25.497568130493164,25.604597091674805,34.56001281738281,38.4123420715332,30.707677841186523
194,ALB,Albania,1976,31.893526077270508,29.340972900390625,34.44609069824219,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,29.653860092163086,28.08896827697754,31.21875,27.313928604125977,32.95067596435547,21.677181243896484,35.73930358886719,25.81867027282715,45.65993881225586,25.908348083496094,25.497568130493164,26.319128036499023,42.09163284301758,37.6585693359375,46.52469253540039
195,ALB,Albania,1977,30.4591064453125,29.215343475341797,31.702877044677734,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,29.888721466064453,28.08896827697754,31.6884708404541,27.313928604125977,32.95067596435547,21.677181243896484,35.73930358886719,25.81867027282715,45.65993881225586,26.612930297851562,25.497568130493164,27.728290557861328,37.55351257324219,37.281681060791016,37.82533264160156
196,ALB,Albania,1978,26.58622932434082,29.08971405029297,24.082754135131836,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.123580932617188,28.08896827697754,32.1581916809082,27.313928604125977,32.95067596435547,21.677181243896484,35.73930358886719,25.81867027282715,45.65993881225586,27.31751251220703,25.497568130493164,29.137454986572266,25.70001792907715,36.9047966003418,14.495240211486816
197,ALB,Albania,1979,32.02427673339844,29.075651168823242,34.97290802001953,23.93510627746582,22.275386810302734,25.594831466674805,21.066041946411133,17.438623428344727,24.693458557128906,26.804176330566406,27.112150192260742,26.496204376220703,30.225276947021484,28.046781539916992,32.403770446777344,27.440380096435547,32.82411193847656,22.05664825439453,35.73930358886719,25.81867027282715,45.65993881225586,27.496143341064453,25.497568130493164,29.494720458984375,41.91246032714844,36.9047966003418,46.92011642456055
198,ALB,Albania,1980,32.532936096191406,29.678503036499023,35.38736343383789,23.678844451904297,22.10276985168457,25.254920959472656,20.731033325195312,17.35630226135254,24.105762481689453,26.626657485961914,26.84923553466797,26.404077529907227,30.633424758911133,27.79275131225586,33.47409439086914,27.427539825439453,32.78861618041992,22.066463470458984,35.75122833251953,25.812166213989258,45.69029235839844,28.72149658203125,24.7774658203125,32.66552734375,43.28654098510742,39.139991760253906,47.43309020996094
199,ALB,Albania,1981,31.575326919555664,29.693143844604492,33.45750427246094,23.48476219177246,21.91814613342285,25.051374435424805,20.65498161315918,17.334606170654297,23.97535514831543,26.31454086303711,26.501689910888672,26.12739372253418,30.515954971313477,27.649869918823242,33.382041931152344,27.544490814208984,32.99995040893555,22.089033126831055,35.75466537475586,25.781118392944336,45.728214263916016,28.248720169067383,24.16855239868164,32.328887939453125,40.725257873535156,39.51142120361328,41.939090728759766
200,ALB,Albania,1982,30.10919189453125,29.8060302734375,30.412355422973633,23.133316040039062,21.34018898010254,24.926433563232422,20.098224639892578,16.35860824584961,23.837841033935547,26.168394088745117,26.321765899658203,26.01502799987793,30.881990432739258,27.43521499633789,34.32876205444336,27.556507110595703,32.975650787353516,22.13736343383789,35.767799377441406,25.756376266479492,45.77922439575195,29.321659088134766,23.573617935180664,35.069698333740234,36.31227493286133,40.642677307128906,31.981868743896484
201,ALB,Albania,1983,31.560321807861328,29.957763671875,33.16289138793945,23.40423583984375,21.919828414916992,24.888641357421875,20.583322525024414,17.50149154663086,23.66515350341797,26.225147247314453,26.338165283203125,26.112131118774414,31.93305206298828,27.209375381469727,36.65672302246094,27.69207000732422,32.81901168823242,22.565126419067383,35.78551483154297,25.730037689208984,45.84099197387695,32.32155990600586,23.079076766967773,41.564048767089844,39.343692779541016,40.744083404541016,37.943302154541016
202,ALB,Albania,1984,31.533384323120117,27.841976165771484,35.224788665771484,23.184829711914062,21.359821319580078,25.009841918945312,19.9920711517334,16.439300537109375,23.54484748840332,26.377588272094727,26.28034210205078,26.474834442138672,31.061798095703125,27.022247314453125,35.101341247558594,27.713869094848633,32.80199432373047,22.625743865966797,35.8045539855957,25.699665069580078,45.90944290161133,29.66696548461914,22.565092086791992,36.76884078979492,40.353511810302734,35.14384841918945,45.56318664550781
203,ALB,Albania,1985,29.44646644592285,28.14630699157715,30.746631622314453,23.654857635498047,22.240402221679688,25.06931495666504,21.13167953491211,18.82526206970215,23.438093185424805,26.17803955078125,25.655542373657227,26.700532913208008,31.669166564941406,26.948686599731445,36.389652252197266,27.86379623413086,33.03251266479492,22.695079803466797,35.81958770751953,25.656126022338867,45.98304748535156,31.324121475219727,22.15742301940918,40.490821838378906,33.015380859375,35.24984359741211,30.78091812133789
204,ALB,Albania,1986,30.64092254638672,27.716564178466797,33.56528854370117,22.950458526611328,20.87668228149414,25.02423667907715,19.72511863708496,16.160621643066406,23.289615631103516,26.175798416137695,25.592737197875977,26.75885772705078,32.107322692871094,26.90959930419922,37.30503463745117,27.99431800842285,33.26710891723633,22.721529006958008,35.83308792114258,25.6212158203125,46.044960021972656,32.49455261230469,21.84046745300293,43.14863586425781,36.86500549316406,35.36343002319336,38.36659240722656
