,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song,year,country,artist,language,rank,points
27,0.423,0.672,7.0,-9.285,0.0,0.0376,0.8079999999999999,0.000938,0.243,0.7509999999999999,167.169,4.0,Pas pour moi,1986,  Switzerland,Daniela Simmons,French,2,140
28,0.594,0.8109999999999999,2.0,-5.9110000000000005,1.0,0.0319,0.284,0.0,0.0998,0.6679999999999999,139.112,4.0,Jaime la vie,1986, Belgium,Sandra Kim,French,1,176
29,0.467,0.34299999999999997,4.0,-10.454,1.0,0.0341,0.48700000000000004,0.0,0.11900000000000001,0.385,173.643,3.0,Gente di mare,1987, Italy,Umberto Tozzi  Raf,Italian,3,103
30,0.657,0.619,10.0,-8.695,1.0,0.0275,0.136,0.0,0.14800000000000002,0.493,129.98,4.0,Rechtop in de wind,1987, Netherlands,Marcha,Dutch,5,83
31,0.465,0.445,9.0,-8.969,1.0,0.462,0.55,0.0,0.9620000000000001,0.43700000000000006,191.743,3.0,Lass die Sonne in dein Herz,1987, Germany,Wind ,German,2,141
32,0.517,0.27699999999999997,5.0,-12.892000000000001,1.0,0.0353,0.716,0.0,0.578,0.281,74.839,4.0,Hold Me Now,1987, Ireland,Johnny Logan ,English,1,172
33,0.732,0.8640000000000001,7.0,-7.356,1.0,0.042,0.302,0.0,0.364,0.985,144.906,4.0,Ja sam za ples,1987, Yugoslavia,Novi fosili,Croatian,4,92
34,0.491,0.657,5.0,-5.757999999999999,1.0,0.0275,0.225,0.0,0.361,0.322,144.279,4.0,Ne partez pas sans moi,1988,  Switzerland,Celine Dion,French,1,137
35,0.613,0.368,9.0,-13.440999999999999,1.0,0.0294,0.623,0.0,0.084,0.386,140.005,4.0,For var jord,1988, Norway,Karoline Kruger,Norwegian,5,88
36,0.5660000000000001,0.26899999999999996,6.0,-11.009,1.0,0.0254,0.732,5.31e-05,0.102,0.11900000000000001,88.662,3.0,Croire,1988, Luxembourg,Lara Fabian,French,4,90
37,0.594,0.871,5.0,-3.5069999999999997,1.0,0.0403,0.486,0.0,0.34299999999999997,0.7609999999999999,92.402,4.0,Vi maler byen rod,1989, Denmark,Birthe Kjaer,Danish,3,111
38,0.578,0.9159999999999999,3.0,-5.767,1.0,0.0443,0.18100000000000002,2.99e-05,0.127,0.941,149.05,4.0,Rock Me,1989, Yugoslavia,Riva,Croatian,1,137
39,0.735,0.8170000000000001,1.0,-8.595,1.0,0.036000000000000004,0.0414,5.14e-06,0.8059999999999999,0.799,127.912,4.0,Bandido,1990, Spain,Azucar Moreno,Spanish English,5,96
40,0.609,0.623,5.0,-12.280999999999999,1.0,0.0299,0.195,4.07e-05,0.371,0.867,148.236,4.0,Eitt lag enn,1990, Iceland,Stjornin,Icelandic,4,124
41,0.5710000000000001,0.8540000000000001,4.0,-11.857000000000001,1.0,0.0509,0.262,0.00264,0.42200000000000004,0.679,195.02900000000002,3.0,White and Black Blues,1990, France,Joelle Ursull,French,2,132
42,0.643,0.5329999999999999,0.0,-9.658999999999999,1.0,0.0262,0.28300000000000003,0.0,0.11,0.48700000000000004,91.969,4.0,Somewhere in Europe,1990, Ireland,Liam Reilly,English,3,132
43,0.7879999999999999,0.708,10.0,-6.124,1.0,0.0283,0.084,0.0,0.12,0.516,100.149,4.0,Insieme ,1990, Italy,Toto Cutugno,Italian English,1,149
44,0.6459999999999999,0.828,8.0,-8.342,1.0,0.038,0.589,0.0,0.0613,0.539,93.185,4.0,Fangad av en stormvind,1991, Sweden,Carola ,Swedish,1,146
45,0.5579999999999999,0.512,0.0,-8.392000000000001,1.0,0.0295,0.13,0.0007030000000000001,0.0752,0.433,139.92700000000002,4.0,Bailar pegados,1991, Spain,Sergio Dalma,Spanish,4,119
46,0.518,0.5660000000000001,4.0,-5.795,1.0,0.0261,0.64,0.0,0.29600000000000004,0.389,76.92,4.0,Little Child,1992, Malta,Mary Spiteri,English,3,123
47,0.514,0.777,4.0,-8.068999999999999,1.0,0.0592,0.365,0.0,0.976,0.893,154.04,4.0,One Step Out of Time,1992, United Kingdom,Michael Ball,English,2,139
48,0.625,0.9159999999999999,10.0,-4.868,1.0,0.0716,0.00425,0.008870000000000001,0.214,0.83,140.013,4.0,Why Me,1992, Ireland,Linda Martin ,English,1,155
49,0.353,0.532,1.0,-10.218,0.0,0.0395,0.33899999999999997,0.0,0.156,0.509,130.645,4.0,In Your Eyes,1993, Ireland,Niamh Kavanagh,English,1,187
50,0.542,0.233,5.0,-14.687999999999999,0.0,0.0303,0.792,0.00011499999999999999,0.11900000000000001,0.215,110.449,4.0,Alle mine tankar,1993, Norway,Silje Vige,Norwegian,5,120
51,0.7140000000000001,0.261,4.0,-17.586,1.0,0.0339,0.852,4e-05,0.08900000000000001,0.491,123.63,4.0,Rock n Roll Kids,1994, Ireland,Paul Harrington  Charlie McGettigan,English,1,226
52,0.461,0.397,8.0,-14.464,1.0,0.0303,0.38799999999999996,4e-06,0.107,0.244,99.664,4.0,More Than Love,1994, Malta,Chris  Moira,English,5,97
53,0.415,0.39299999999999996,2.0,-7.08,1.0,0.0254,0.8540000000000001,0.000164,0.128,0.316,109.49700000000001,4.0,Kinek mondjam el vetkeimet,1994, Hungary,Friderika,Hungarian,4,122
54,0.20600000000000002,0.348,7.0,-7.4079999999999995,0.0,0.0286,0.633,0.0,0.185,0.168,82.544,3.0,Nocturne,1995, Norway,Secret Garden,Norwegian,1,148
55,0.703,0.3,5.0,-14.790999999999999,0.0,0.0362,0.465,0.0,0.17300000000000001,0.43700000000000006,105.954,4.0,Vuelve conmigo,1995, Spain,Anabel Conde,Spanish,2,119
56,0.574,0.672,4.0,-10.498,1.0,0.0492,0.754,0.0,0.623,0.591,133.46200000000002,4.0,Se pa mig,1995, Sweden,Jan Johansen,Swedish,3,100
57,0.44,0.565,0.0,-7.364,1.0,0.0396,0.261,0.0,0.127,0.38799999999999996,154.02200000000002,3.0,Sveta ljubav,1996, Croatia,Maja Blagdan,Croatian,4,98
58,0.452,0.36,9.0,-14.252,0.0,0.035,0.867,0.0804,0.125,0.22899999999999998,93.993,3.0,The Voice,1996, Ireland,Eimear Quinn,English,1,162
59,0.377,0.43799999999999994,0.0,-9.703,1.0,0.0283,0.785,0.0,0.111,0.14,80.686,3.0,Den vilda,1996, Sweden,One More Time,Swedish,3,100
60,0.532,0.7509999999999999,4.0,-7.242000000000001,0.0,0.0458,0.461,0.0,0.0827,0.737,179.98,4.0,Fiumi di parole,1997, Italy,Jalisse,Italian,4,114
61,0.575,0.7290000000000001,0.0,-6.712999999999999,1.0,0.0633,0.7090000000000001,0.0,0.079,0.473,84.01700000000001,4.0,Love Shine a Light,1997, United Kingdom,Katrina  The Waves,English,1,227
62,0.527,0.469,8.0,-6.87,1.0,0.0314,0.6759999999999999,0.0,0.0875,0.324,121.62799999999999,4.0,Neka mi ne svane,1998, Croatia,Danijela,Croatian,5,131
63,0.56,0.9570000000000001,4.0,-3.6010000000000004,0.0,0.0411,0.196,1.1e-06,0.513,0.736,134.015,4.0,Diva ,1998, Israel,Dana International,Hebrew,1,172
64,0.5479999999999999,0.406,11.0,-6.567,1.0,0.0256,0.564,0.000164,0.0712,0.165,101.839,4.0,The One That I Love,1998, Malta,Chiara,English,3,165
65,0.602,0.9179999999999999,11.0,-4.288,0.0,0.0574,0.0895,0.0,0.35200000000000004,0.6890000000000001,95.025,4.0,Hemel en aarde,1998, Netherlands,Edsilia Rombley,Dutch,4,151
66,0.586,0.873,9.0,-8.356,1.0,0.0386,0.0376,0.0,0.28,0.8440000000000001,131.814,4.0,All Out of Luck,1999, Iceland,Selma,English,2,146
67,0.6509999999999999,0.904,1.0,-4.103,1.0,0.0383,0.0249,0.000103,0.184,0.966,105.085,4.0,Solo,2000, Russia,Alsou,English,2,155
68,0.69,0.82,2.0,-8.74,1.0,0.0367,0.358,2.2800000000000002e-05,0.0671,0.8270000000000001,103.994,4.0,Fly on the Wings of Love,2000, Denmark,Olsen Brothers,English,1,195
69,0.547,0.84,5.0,-6.98,1.0,0.0389,0.0934,6.74e-05,0.16,0.619,135.25799999999998,4.0,My Star,2000, Latvia,Brainstorm,English,3,136
70,0.601,0.8640000000000001,1.0,-2.635,0.0,0.0383,0.0608,0.0,0.243,0.561,136.961,4.0,Listen to Your Heartbeat,2001, Sweden,Friends,English,5,100
71,0.5720000000000001,0.95,11.0,-3.784,0.0,0.042,0.059000000000000004,0.000225,0.195,0.7979999999999999,124.01700000000001,4.0,I Would Die for You,2001, Greece,Antique,GreekEnglish,3,147
72,0.727,0.8590000000000001,10.0,-6.678,1.0,0.0508,0.0526,0.0,0.0714,0.5539999999999999,108.04,4.0,Never Ever Let You Go,2001, Denmark,Rollo  King,English,2,177
73,0.695,0.878,6.0,-4.378,1.0,0.0307,0.0552,1.53e-05,0.32899999999999996,0.97,128.013,4.0,Runaway,2002, Estonia,Sahlene,English,4,111
74,0.669,0.8140000000000001,7.0,-6.468999999999999,1.0,0.0496,0.0243,9.290000000000001e-05,0.214,0.899,144.043,4.0,I Wanna,2002, Latvia,Marie N,English,1,176
75,0.799,0.741,4.0,-7.341,0.0,0.207,0.0569,0.00146,0.342,0.5870000000000001,95.02,4.0,Everyway That I Can,2003, Turkey,Sertab Erener,English,1,167
76,0.5589999999999999,0.792,7.0,-6.082999999999999,0.0,0.0304,0.2,0.0,0.141,0.644,85.00399999999999,4.0,Sanomi,2003, Belgium,Urban Trad,Imaginary,2,165
77,0.563,0.9329999999999999,2.0,-3.613,1.0,0.0625,0.0281,0.0,0.128,0.579,132.012,4.0,Give Me Your Love,2003, Sweden,Fame,English,5,107
78,0.733,0.919,9.0,-4.69,0.0,0.0461,0.0347,0.000308,0.0924,0.6579999999999999,113.009,4.0,Shake It,2004, Greece,Sakis Rouvas,English,3,252
79,0.872,0.865,0.0,-5.257000000000001,0.0,0.0807,0.305,7.53e-05,0.0646,0.963,126.01100000000001,4.0,For Real,2004, Turkey,Athena,English,4,195
80,0.685,0.946,11.0,-4.075,1.0,0.0283,0.0066,2.7399999999999995e-05,0.0728,0.754,127.008,4.0,It Hurts,2004, Sweden,Lena Philipsson,English,5,170
81,0.7509999999999999,0.528,0.0,-6.122000000000001,1.0,0.0258,0.38299999999999995,0.0,0.154,0.37200000000000005,104.995,4.0,The War Is Not Over,2005, Latvia,Walters  Kazha,English Sign language,5,153
82,0.42200000000000004,0.18100000000000002,1.0,-8.677999999999999,1.0,0.0323,0.95,0.0,0.10400000000000001,0.11699999999999999,117.796,3.0,Angel,2005, Malta,Chiara ,English,2,192
83,0.42200000000000004,0.18100000000000002,1.0,-8.677999999999999,1.0,0.0323,0.95,0.0,0.10400000000000001,0.11699999999999999,117.796,3.0,Angel,2011, Ukraine,Mika Newton,English,4,159
84,0.775,0.7440000000000001,6.0,-5.687,0.0,0.0366,0.19699999999999998,7.99e-05,0.0261,0.963,112.993,4.0,My Number One,2005, Greece,Helena Paparizou,English,1,230
85,0.552,0.945,3.0,-3.863,1.0,0.0527,0.00021600000000000002,0.0166,0.09300000000000001,0.555,123.025,4.0,Hard Rock Hallelujah,2006, Finland,Lordi,English,1,292
86,0.529,0.934,6.0,-3.5260000000000002,1.0,0.0451,0.00146,2.3100000000000002e-05,0.0345,0.62,130.982,4.0,Invincible,2006, Sweden,Carola ,English,5,170
87,0.465,0.45899999999999996,6.0,-8.137,0.0,0.0351,0.883,0.000173,0.0692,0.28800000000000003,90.807,4.0,Lejla,2006, Bosnia and Herzegovina,Hari Mata Hari,Bosnian,3,229
88,0.716,0.9470000000000001,0.0,-2.503,0.0,0.0533,0.00202,8.09e-06,0.337,0.5710000000000001,128.024,4.0,Song ,2007, Russia,Serebro,English,3,207
89,0.725,0.9590000000000001,0.0,-5.267,1.0,0.0566,0.005229999999999999,0.0082,0.28300000000000003,0.965,144.031,4.0,Dancing Lasha Tumbai   ,2007, Ukraine,Verka Serduchka,GermanEnglish,2,235
90,0.684,0.7959999999999999,9.0,-5.425,0.0,0.068,6.59e-05,0.0299,0.126,0.379,127.988,4.0,Qele qele  ,2008, Armenia,Sirusho,EnglishArmenian,4,199
91,0.78,0.7979999999999999,1.0,-4.853,1.0,0.040999999999999995,0.292,1.91e-05,0.11599999999999999,0.905,110.979,4.0,Secret Combination,2008, Greece,Kalomira,English,3,218
92,0.706,0.6990000000000001,6.0,-12.515,0.0,0.0512,0.0501,1.07e-06,0.0692,0.753,127.95299999999999,4.0,Shady Lady,2008, Ukraine,Ani Lorak,English,2,230
93,0.747,0.9670000000000001,5.0,-3.6910000000000003,1.0,0.0561,0.133,2.54e-05,0.0831,0.8740000000000001,115.021,4.0,Dum tek tek,2009, Turkey,Hadise,English,4,177
94,0.473,0.5660000000000001,0.0,-7.023,0.0,0.0278,0.35,0.0,0.0697,0.226,84.0,4.0,Is It True,2009, Iceland,Yohanna,English,2,218
95,0.5760000000000001,0.785,2.0,-5.359,0.0,0.0295,0.62,4.26e-05,0.233,0.674,107.99600000000001,4.0,Fairytale,2009, Norway,Alexander Rybak,English,1,387
96,0.659,0.767,6.0,-5.306,1.0,0.0279,0.27699999999999997,0.0,0.0985,0.39299999999999996,95.036,4.0,In a Moment Like This,2010, Denmark,Chanee  nevergreen,English,4,149
97,0.46799999999999997,0.657,6.0,-4.338,1.0,0.0295,0.00957,1.0300000000000001e-05,0.0776,0.228,147.965,3.0,Drip Drop,2010, Azerbaijan,Safura,English,5,145
98,0.883,0.6759999999999999,4.0,-5.48,0.0,0.0888,0.0141,0.0474,0.0711,0.742,127.98100000000001,4.0,Playing with Fire,2010, Romania,Paula Seling  Ovi,English,3,162
99,0.557,0.6809999999999999,9.0,-7.065,0.0,0.0266,0.0121,2.8800000000000002e-05,0.138,0.415,111.955,4.0,We Could Be the Same,2010, Turkey,maNga,English,2,170
100,0.68,0.857,11.0,-4.591,0.0,0.23800000000000002,0.204,0.0,0.0414,0.924,94.928,4.0,Satellite,2010, Germany,Lena,English,1,246
101,0.535,0.963,9.0,-4.654,1.0,0.0966,0.000547,0.0,0.0525,0.489,125.01899999999999,4.0,Popular,2011, Sweden,Eric Saade,English,3,185
102,0.496,0.6679999999999999,7.0,-6.276,1.0,0.0293,0.157,0.0,0.102,0.408,146.929,4.0,New Tomorrow,2011, Denmark,A Friend in London,English,5,134
103,0.285,0.33,10.0,-5.148,0.0,0.0343,0.7979999999999999,2.42e-05,0.109,0.0933,73.89699999999999,3.0,Suus,2012, Albania,Rona Nishliu,Albanian,5,146
104,0.562,0.7829999999999999,11.0,-4.727,0.0,0.0428,0.135,1.4400000000000001e-05,0.282,0.391,132.06,4.0,Euphoria,2012, Sweden,Loreen,English,1,372
105,0.22399999999999998,0.591,1.0,-4.425,0.0,0.0332,0.605,2.3800000000000003e-05,0.433,0.303,184.842,3.0,When the Music Dies,2012, Azerbaijan,Sabina Babayeva,English,4,150
106,0.6559999999999999,0.833,0.0,-5.016,1.0,0.0433,0.325,0.0,0.0955,0.551,110.98899999999999,4.0,Only Teardrops,2013, Denmark,Emmelie de Forest,English,1,281
107,0.32299999999999995,0.779,0.0,-3.8080000000000003,1.0,0.0786,0.521,0.0,0.295,0.455,175.715,4.0,Gravity,2013, Ukraine,Zlata Ognevich,English,3,214
108,0.511,0.778,10.0,-3.605,0.0,0.0292,0.0123,0.0,0.184,0.359,89.99799999999999,4.0,Hold Me,2013, Azerbaijan,Farid Mammadov,English,2,234
109,0.3,0.9520000000000001,11.0,-4.418,0.0,0.45299999999999996,0.004,0.000231,0.245,0.392,192.179,4.0,I Feed You My Love,2013, Norway,Margaret Berger,English,4,191
110,0.58,0.493,6.0,-3.53,1.0,0.0383,0.39899999999999997,0.0,0.0829,0.256,121.904,4.0,Undo,2014, Sweden,Sanna Nielsen,English,3,218
111,0.705,0.363,6.0,-11.379000000000001,1.0,0.0328,0.509,0.172,0.111,0.41600000000000004,116.023,4.0,Calm After the Storm,2014, Netherlands,The Common Linnets,English,2,238
112,0.425,0.503,2.0,-6.324,0.0,0.0256,0.142,0.0,0.105,0.23,81.653,4.0,Rise Like a Phoenix,2014, Austria,Conchita Wurst,English,1,290
113,0.821,0.513,7.0,-5.388,1.0,0.0436,0.0802,0.0,0.067,0.308,90.008,4.0,Rhythm Inside,2015, Belgium,Loic Nottet,English,4,217
114,0.43,0.664,7.0,-3.958,1.0,0.0293,0.18,0.0,0.16899999999999998,0.324,76.101,4.0,A Million Voices,2015, Russia,Polina Gagarina,English,2,303
115,0.484,0.7909999999999999,7.0,-4.27,1.0,0.0437,0.0743,0.0,0.0491,0.369,124.008,4.0,Heroes,2015, Sweden,Mans Zelmerlow,English,1,365
116,0.456,0.604,1.0,-6.361000000000001,1.0,0.0294,0.0595,0.000128,0.153,0.154,142.241,4.0,Grande amore,2015, Italy,Il Volo,Italian,3,292
117,0.632,0.8909999999999999,11.0,-5.376,0.0,0.0687,0.0382,0.0,0.106,0.26899999999999996,127.98299999999999,4.0,You Are the Only One,2016, Russia,Sergey Lazarev,English,3,491
118,0.523,0.818,4.0,-4.062,0.0,0.071,0.344,0.0,0.098,0.32,135.56,4.0,Sound of Silence,2016, Australia,Dami Im,English,2,511
119,0.613,0.8340000000000001,0.0,-5.164,1.0,0.0327,0.0211,0.0,0.225,0.524,110.069,4.0,If Love Was a Crime,2016, Bulgaria,Poli Genova ,English Bulgarian,4,307
120,0.735,0.612,5.0,-6.774,1.0,0.0517,0.289,4.1200000000000005e-05,0.10300000000000001,0.395,105.056,4.0,If I Were Sorry,2016, Sweden,Frans,English,5,261
121,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,DingaDong,1975, Netherlands,TeachIn,English,1,152
122,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Era,1975, Italy,Wess  Dori Ghezzi,Italian,3,115
123,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Djambo Djambo,1976,  Switzerland,Peter Sue  Marc ,English,4,91
124,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Toi la musique et moi,1976, Monaco,Mary Christy,French,3,93
125,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Un deux trois,1976, France,Catherine Ferry,French,2,147
126,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Its Nice to Be in Love Again,1977, Ireland,The Swarbriggs  Plus Two,English,3,119
127,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Rock Bottom,1977, United Kingdom,Lynsey de Paul  Mike Moran,English,2,121
128,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Mathima solfege  ,1977, Greece,Pascalis Marianna Robert  Bessy,Greek,5,92
129,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Born to Sing,1978, Ireland,Colm C T Wilkinson,English,5,86
130,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Il y aura toujours des violons,1978, France,Joel Prevost,French,3,119
131,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Lamour ca fait chanter la vie,1978, Belgium,Jean Vallee ,French,2,125
132,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Les jardins de Monaco,1978, Monaco,Caline  Olivier Toussaint,French,4,107
133,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Abanibi ,1978, Israel,Izhar Cohen  Alphabeta,Hebrew,1,157
134,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Happy Man,1979, Ireland,Cathal Dunne,English,5,80
135,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Hallelujah ,1979, Israel,Milk and Honey,Hebrew,1,125
136,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Je suis lenfant soleil,1979, France,AnneMarie David ,French,3,106
137,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Cinema,1980,  Switzerland,Paola del Medico ,French,4,104
138,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Theater,1980, Germany,Katja Ebstein ,German,2,128
139,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Love Enough for Two,1980, United Kingdom,Prima Donna,English,3,106
140,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Johnny Blue,1981, Germany,Lena Valaitis,German,2,132
141,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Humanahum,1981, France,Jean Gabilou,French,3,125
142,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Io senza te,1981,  Switzerland,Peter Sue  Marc ,Italian,4,121
143,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Amour on taime,1982,  Switzerland,Arlette Zola,French,3,97
144,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Si tu aimes ma musique,1982, Belgium,Stella,French,4,96
145,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Khay ,1983, Israel,Ofra Haza,Hebrew,2,136
146,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Si la vie est cadeau,1983, Luxembourg,Corinne Hermes,French,1,142
147,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,Det lige det,1984, Denmark,Hot Eyes,Danish,4,101
148,0.57,0.618,0.0,-7.515,1.0,0.0506,0.205,3.68e-05,0.128,0.43,115.34700000000001,4.0,I treni di Tozeur,1984, Italy,Alice  Franco Battiato,Italian German,5,70
