,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1
275,1975,f,J,Belgium,Malta,7,0.0
276,1991,f,J,Belgium,Malta,4,0.0
277,1992,f,J,Belgium,Malta,10,0.0
278,1993,f,J,Belgium,Malta,0,0.0
279,1995,f,J,Belgium,Malta,0,0.0
280,1996,f,J,Belgium,Malta,0,0.0
281,1998,f,J,Belgium,Malta,8,0.0
282,1999,f,J,Belgium,Malta,0,0.0
283,2000,f,J,Belgium,Malta,1,0.0
284,2002,f,J,Belgium,Malta,7,0.0
285,2003,f,J,Belgium,Malta,0,0.0
286,2004,f,J,Belgium,Malta,0,0.0
287,2004,sf,J,Belgium,Malta,0,0.0
288,2005,f,J,Belgium,Malta,8,0.0
289,2006,f,J,Belgium,Malta,0,0.0
290,2007,sf,J,Belgium,Malta,0,0.0
291,2009,f,J,Belgium,Malta,0,0.0
292,2009,sf1,J,Belgium,Malta,8,0.0
293,2010,sf1,J,Belgium,Malta,0,0.0
294,2012,f,J,Belgium,Malta,0,0.0
295,2013,f,J,Belgium,Malta,0,0.0
296,2014,f,J,Belgium,Malta,0,0.0
297,2016,f,J,Belgium,Malta,0,0.0
298,2016,f,T,Belgium,Malta,0,0.0
299,1975,f,J,Belgium,Monaco,0,0.0
300,1976,f,J,Belgium,Monaco,8,0.0
301,1977,f,J,Belgium,Monaco,2,0.0
302,1978,f,J,Belgium,Monaco,6,0.0
303,1979,f,J,Belgium,Monaco,0,0.0
304,2004,sf,J,Belgium,Monaco,0,0.0
305,2005,sf,J,Belgium,Monaco,0,0.0
306,2006,sf,J,Belgium,Monaco,0,0.0
307,1975,f,J,Belgium,Norway,0,0.0
308,1976,f,J,Belgium,Norway,0,0.0
309,1977,f,J,Belgium,Norway,5,0.0
310,1978,f,J,Belgium,Norway,0,0.0
311,1979,f,J,Belgium,Norway,8,0.0
312,1980,f,J,Belgium,Norway,0,0.0
313,1981,f,J,Belgium,Norway,0,0.0
314,1982,f,J,Belgium,Norway,2,0.0
315,1983,f,J,Belgium,Norway,7,0.0
316,1984,f,J,Belgium,Norway,1,0.0
317,1985,f,J,Belgium,Norway,12,0.0
318,1986,f,J,Belgium,Norway,5,0.0
319,1987,f,J,Belgium,Norway,7,0.0
320,1988,f,J,Belgium,Norway,3,0.0
321,1989,f,J,Belgium,Norway,8,0.0
322,1990,f,J,Belgium,Norway,0,0.0
323,1991,f,J,Belgium,Norway,0,0.0
324,1992,f,J,Belgium,Norway,3,0.0
325,1993,f,J,Belgium,Norway,6,0.0
326,1995,f,J,Belgium,Norway,5,0.0
327,1996,f,J,Belgium,Norway,8,0.0
328,1998,f,J,Belgium,Norway,4,0.0
329,1999,f,J,Belgium,Norway,0,0.0
330,2000,f,J,Belgium,Norway,0,0.0
331,2003,f,J,Belgium,Norway,6,0.0
332,2004,f,J,Belgium,Norway,0,0.0
333,2005,f,J,Belgium,Norway,3,0.0
334,2005,sf,J,Belgium,Norway,2,0.0
335,2006,f,J,Belgium,Norway,0,0.0
336,2007,sf,J,Belgium,Norway,0,0.0
337,2008,f,J,Belgium,Norway,2,0.0
338,2008,sf1,J,Belgium,Norway,1,0.0
339,2009,f,J,Belgium,Norway,10,0.0
340,2010,f,J,Belgium,Norway,0,0.0
341,2012,f,J,Belgium,Norway,0,0.0
342,2013,f,J,Belgium,Norway,7,0.0
343,2014,f,J,Belgium,Norway,0,0.0
344,2015,f,J,Belgium,Norway,0,0.0
345,2016,sf2,J,Belgium,Norway,4,0.0
346,2016,sf2,T,Belgium,Norway,0,0.0
347,1975,f,J,Belgium,Portugal,0,0.0
348,1976,f,J,Belgium,Portugal,0,0.0
349,1977,f,J,Belgium,Portugal,0,0.0
350,1978,f,J,Belgium,Portugal,0,0.0
351,1979,f,J,Belgium,Portugal,5,0.0
352,1980,f,J,Belgium,Portugal,4,0.0
