,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
341,0.435,0.589,1,-5.793,0,0.0367,0.65,0.0,0.36,0.329,69.943,audio_features,6Aj4aFFUNpLdanLlxIJ2v5,spotify:track:6Aj4aFFUNpLdanLlxIJ2v5,https://api.spotify.com/v1/tracks/6Aj4aFFUNpLdanLlxIJ2v5,https://api.spotify.com/v1/audio-analysis/6Aj4aFFUNpLdanLlxIJ2v5,182707,3,Senhora do mar Negras aguas
342,0.624,0.92,1,-6.398,0,0.0546,0.0157,1.29e-06,0.0423,0.967,119.969,audio_features,2vI5dsE5og13ur6EUhOapI,spotify:track:2vI5dsE5og13ur6EUhOapI,https://api.spotify.com/v1/tracks/2vI5dsE5og13ur6EUhOapI,https://api.spotify.com/v1/audio-analysis/2vI5dsE5og13ur6EUhOapI,224078,4,Even If
343,0.696,0.817,0,-5.582,0,0.0442,0.106,0.000576,0.0914,0.496,141.941,audio_features,6JYxLv2GGPaZDkyJaHSQJY,spotify:track:6JYxLv2GGPaZDkyJaHSQJY,https://api.spotify.com/v1/tracks/6JYxLv2GGPaZDkyJaHSQJY,https://api.spotify.com/v1/audio-analysis/6JYxLv2GGPaZDkyJaHSQJY,188853,4,Divine
344,0.861,0.866,10,-5.446,0,0.181,0.0146,0.000116,0.0591,0.823,97.013,audio_features,7wUKRQMHG0fI3DBzi6Tp29,spotify:track:7wUKRQMHG0fI3DBzi6Tp29,https://api.spotify.com/v1/tracks/7wUKRQMHG0fI3DBzi6Tp29,https://api.spotify.com/v1/audio-analysis/7wUKRQMHG0fI3DBzi6Tp29,173720,4,Baila el chiki chiki
345,0.496,0.995,2,-2.546,1,0.238,0.221,6.78e-06,0.369,0.581,87.96,audio_features,0mOHByNAoAstzLqBW8OkTL,spotify:track:0mOHByNAoAstzLqBW8OkTL,https://api.spotify.com/v1/tracks/0mOHByNAoAstzLqBW8OkTL,https://api.spotify.com/v1/audio-analysis/0mOHByNAoAstzLqBW8OkTL,179907,4,Copycat
346,0.525,0.655,10,-3.55,1,0.0386,0.355,1.87e-05,0.21,0.455,128.042,audio_features,7Kz4f9CgtAfbmPBMX5q2ZV,spotify:track:7Kz4f9CgtAfbmPBMX5q2ZV,https://api.spotify.com/v1/tracks/7Kz4f9CgtAfbmPBMX5q2ZV,https://api.spotify.com/v1/audio-analysis/7Kz4f9CgtAfbmPBMX5q2ZV,177013,4,La voix
347,0.768,0.402,2,-15.591,1,0.0514,0.068,0.000723,0.0973,0.924,132.976,audio_features,4JhfwIE45890EXAyEbpRPj,spotify:track:4JhfwIE45890EXAyEbpRPj,https://api.spotify.com/v1/tracks/4JhfwIE45890EXAyEbpRPj,https://api.spotify.com/v1/audio-analysis/4JhfwIE45890EXAyEbpRPj,177933,4,La teva decisio Get a Life
348,0.466,0.927,2,-4.381,0,0.0405,0.00764,0.0299,0.376,0.289,117.943,audio_features,4uvljEsBdv6QeOC8gkBINZ,spotify:track:4uvljEsBdv6QeOC8gkBINZ,https://api.spotify.com/v1/tracks/4uvljEsBdv6QeOC8gkBINZ,https://api.spotify.com/v1/audio-analysis/4uvljEsBdv6QeOC8gkBINZ,229533,4,The Highest Heights
349,0.747,0.967,5,-3.691,1,0.0561,0.133,2.54e-05,0.0831,0.874,115.021,audio_features,3SxMoYjub3X3q5hJm9ZPyM,spotify:track:3SxMoYjub3X3q5hJm9ZPyM,https://api.spotify.com/v1/tracks/3SxMoYjub3X3q5hJm9ZPyM,https://api.spotify.com/v1/audio-analysis/3SxMoYjub3X3q5hJm9ZPyM,183438,4,Dum tek tek
350,0.493,0.906,4,-4.854,0,0.0714,0.00909,0.00117,0.0905,0.443,130.005,audio_features,1iqlGvWyLTVwoRWLZL9YGu,spotify:track:1iqlGvWyLTVwoRWLZL9YGu,https://api.spotify.com/v1/tracks/1iqlGvWyLTVwoRWLZL9YGu,https://api.spotify.com/v1/audio-analysis/1iqlGvWyLTVwoRWLZL9YGu,175636,4,Illusion
